word,count
“,7
都云作者痴，谁解其中味？。生的苦难与伟大。栗树荫下，我出卖你，你出卖我。从9¾站台开始的旅程。地球往事三部曲。魔幻现实主义文学代表作。革命时期的爱情，随风而逝。向死而生的文学绝唱。太阳底下并无新事。是非成败转头空。名侦探的代名词。一宗离奇命案牵出跨度近20年步步惊心的故事。献给长成了大人的孩子们。为了争取未来的一代。游荡的自由灵魂。有情皆孽，无人不冤。新文学的第一声呐喊。有一种东西不能遵循从众原则，那就是——人的良心。不拘一格的历史书写。个人命运背后的历史变局。我的整个生命，只是一场为了提升社会地位的低俗斗争。。探索青年时代的激情、困惑、挣扎、背叛和失去。沉默是沉默者的通行证。一部简明的,1
中国政治制度史,1
。我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。。人生在世，永远也不该演戏作假。跟着人类一同走过十万年。中国当代城乡生活全景。一轴关于我们民族灵魂的现实主义画卷。中国乡土社会传统文化和社会结构理论研究代表作。幽默的语言和对生活深刻的观察。欲练此功，必先自宫。这是你的罪孽与福祉。路漫漫其修远兮，吾将上下而求索。豆瓣电影Top1原著。谋杀诡计惊人，波洛的抉择耐人寻味。当声称能改造智能的科学实验选中心智障碍主角。一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景。外国人眼中的涪陵。义无反顾地直达爱情的核心。长亭外，古道边，芳草碧连天。见微知著，历史观的颠覆。在纷扰中寻出一点闲静。有多少人会经历顿悟，就有更少的人甘愿自我放逐。拾取古代传说，取一点因由，随意点染。从最早的洞窟绘画到当今的实验艺术。侠之大者，为国为民。为你，千千万万遍。《纽约客》驻北京记者驾车漫游中国大陆的经历。一把刀的锋刃不容易越过；因此智者说得救之道是困难的。是不是真的只有先与人疏离，才能最终与他们在一起？。一本有教育意义的书。童谣杀人案。数学好是一种极致的浪漫。用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理。我想爱，想吃，还想在一瞬间变成天上半明半暗的云。神魔皆有人情，精魅亦通世故。所有现代言情小说的母体。史家之绝唱，无韵之离骚。现实主义与浪漫主义的至高杰作。白先勇短篇小说集。思无邪。至情至性，情大于武。关于时间旅行的终极奥秘和恢宏构想。写给那一群，,1
在最深最深的黑夜里，,1
独自彷徨街头，,1
无所依归的孩子们。窥见美国社会的一扇窗。量子物理史话。这个发生在瑞典的故事，如生命庆典般绚丽斑斓。沙漠中寻常的生与死。唯有希望与爱可以驱散阴霾。熟读唐诗三百首，不会吟诗也会吟。木心留给世界的礼物。关于衰老与死亡，你必须知道的常识。中国美学经典之作。真正懂孩子的教育经。北平沦陷时代广大平民的悲惨遭遇。以新眼光评旧文学。萧红的童年往事。中国历史上首部完整的哲学著作。在这里看见中国。阿勒泰的精灵。了解IT领域的入门读物。探索中年的虚无、困惑、野心和近乎残暴的爱。描绘人内心的全部深度。王小波与李银河的两地书。家庭生活回忆录。1768年中国妖术大恐慌。五个家族，一场战争。在混沌纷扰的生活漩流中，寻求人生的真谛。失明症迅速蔓延，整个城市陷入一场空前的灾难。,1
教父三部曲,1
电影原著。对世俗、实用问题深刻而透彻的讨论。一个淡泊清透的世界。江南乡镇民间生活，健康淳朴的人性。武侠的解构，流氓的狂欢。即使不能拥有完美的生活，所幸追求过完整的自我。哀而不伤。翻手为苍凉，覆手为繁华。清末、民初、抗战胜利以后三个历史时期的北京生活风貌。一切充满了善，然而到处是不凑巧。探索时间和空间的核心秘密。平淡叙述下的惊心动魄。我就是要这样香，香得痛痛快快。一颗纯美纯善、永难泯灭的童心。伊坂幸太郎代表作。一个谜语，谜底正是时间。我来自一个极少有人能想象的家庭，教育给了我新世界。一个高贵而残破的昨日镜像。我们好象在池塘的水底，从一个月亮走向另一个月亮。材质、结构、风格和银幕剧作的原理。,1
那不勒斯四部曲,1
第一部，两个女人，50年的友谊和战争。经济学家们的世界观。白雪和阳光，青草和白桦林。钱穆中国通史。一句胜过千年。暗恋的极致。哲学启蒙书。从遥远的撒哈拉到敦煌戈壁。少年辛克莱寻找通向自身之路的艰辛历程。明明这么痛苦，这么难过，为什么就是不能放弃跑步？。三毛在加纳利群岛的生活。完美主义者的最高形态。人间，只是抹去了脂粉的脸。谦恭地、勇敢地、真诚地和有纪律地爱他人。量子之外，没有真相。面对强大的对手，明知不敌，也要毅然亮剑。真实记录切尔诺贝利核灾难事件。男孩桑桑刻骨铭心、终身难忘的六年小学生活。描写疆北阿勒泰地区生活和风情的原生态散文集。收录自先秦至明末的散文二百二十二篇。东北少数民族鄂温克人生存现状及百年沧桑。日常的奇迹。人们是如何思索、影响他人并与他人建立联系的。在法治国家里，民众怎样运用法律。鸦片战争再研究。乔治·R·R·马丁史诗奇幻小说。这是一个最好的时代，也是一个最坏的时代。男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟。,1
一对平凡的夫妻,1
之间的,1
一点真心,1
。我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯。苟不记之笔墨，未免有辜彼苍之厚。活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事。一场同名同姓的误会，两段可贵的爱情。我们现在怎样做母亲。不识张郎是张郎。在这本书里，被,1
审视,1
的东西杂七杂八。人类历史上最早的乌托邦。阿加莎·克里斯蒂代表作。梵高悲惨而成就辉煌的人生。人生，远比地狱更像地狱。一幕人生大悲剧，在一个雷雨夜爆发。乱世的英雄史诗。耿耿余淮。,1
超现实主义,1
